,Name,Salary,Pos,Team,Avg,STS,OWN,USG,MIN,PTS,TPM,AST,REB,BLK,STL,TOV,KJD,FP
1,Adas Juskevicius,2000,SG,LTU,3.75,0,0,18.3,6.72,2.5,0.5,1,0,0,0,1,1.15,3.254089091
2,Alex Abrines,2300,SG,ESP,2,0,0,28.8,1.44,1,0,0,0,0.5,0,0,1.5,1.589966555
3,Andres Nocioni,6700,PF,ARG,28.55,0.8,19.8,22.5,34.48,15.6,2.4,0.4,6.2,0.8,1.4,2.6,10.8,31.68006105
4,Andrew Bogut,6700,C,AUS,23.95,1,36.75,19.6,22.2,13,0.25,4,5.75,1.75,0.5,1.75,11.1,25.5628796
5,Antanas Kavaliauskas,2000,C,LTU,4.313,0,0.25,13.3,6.48,2.5,0,0.25,1.25,0,0,0.25,-1.15,4.278766226
6,Antoine Diot,2100,PG,FRA,8.1,0,0.2,17.9,13.68,4.8,0.8,0.6,0.8,0,0.6,0.4,4.07,9.710762925
7,Aron Baynes,4700,C,AUS,18.65,1,13.8,25.6,22.4,9.6,0,1.4,5.8,0.2,0.2,2.2,4.93,21.00454868
8,Bogdan Bogdanovic,8100,SG,SRB,23.65,0.8,30.6,22.7,25.12,13.4,2.4,2.4,3.8,0.2,0.6,1.8,7.17,23.42626511
9,Bojan Bogdanovic,9300,SG,CRO,34.65,1,53.4,30.6,36,24.8,2.8,2,4.2,0.4,0.6,3.6,13.6,33.11265089
10,Boris Diaw,7000,PF,FRA,24.25,1,50.4,18.4,24.24,8.4,0.4,4.6,4.6,1,1,2,10.1,20.98897391
11,Brock Motum,2800,PF,AUS,9.5,0,0.75,28.2,10.08,5,0,0.75,2,0,0.5,0.25,4.8,9.91038641
12,Cameron Bairstow,3600,PF,AUS,12.3,0,7.2,22.7,13.68,5.4,0.2,0.2,4.4,0.4,0.4,1.2,5.27,12.3029544
13,Carlos Delfino,3700,SF,ARG,8.9,0.2,4.2,NA,16.88,4.2,0.8,0.4,2.4,0,0.6,1,0.7,13.82379069
14,Carmelo Anthony,8400,PF,USA,28.15,1,17.2,21.4,28.72,15.2,3,2.4,5,0.2,0.8,0.8,12.7,36.34734898
15,Charles Kahudi,2200,SF,FRA,8.5,0,0.4,12.1,12.56,2.4,0.2,0.6,4,0.2,0,0.6,4.37,8.273988887
16,Chris Goulding,2500,SG,AUS,12.563,0,1,23,14.4,6,1,2,1.75,0,0.5,0.25,7.03,11.71041196
17,Damian Martin,2000,PG,AUS,7.188,0,0,5.5,13.12,1.5,0.5,1.75,1.25,0,0.75,0.5,3.8,9.445637413
18,Dario Saric,7800,PF,CRO,29.3,1,36.8,21.4,33.2,12.8,1,3.6,7.2,0.6,0.8,3,9.13,29.05590296
19,Darko Planinic,2900,C,CRO,15.25,0,2.6,15.6,19.36,8.4,0,0.2,5,0.2,0.2,1,6.13,13.20357206
20,David Andersen,4900,PF,AUS,16.35,0.2,7.4,21.7,16.32,9.8,0.6,0.2,4.6,0,0.4,1,5.93,13.97774456
21,DeAndre Jordan,5800,C,USA,17.6,0,7,18,17.36,8.8,0,0.8,4.8,0.4,0.6,0.8,5.7,22.78647149
22,DeMar DeRozan,4900,SG,USA,10.55,0,6.4,25.4,8.4,6.8,0,0.8,1,0,1,1.4,3.37,7.364802992
23,DeMarcus Cousins,6700,PF,USA,18.7,1,11.8,22.4,17.12,8.6,0,2,5.2,0.2,0.6,2,6.23,25.75213805
24,Domantas Sabonis,4500,PF,LTU,16.65,0.4,13.4,21.6,18,6.4,0.2,0.8,4.6,0.6,1.4,1.6,3.87,14.54126971
25,Draymond Green,4400,PF,USA,9.85,0,11.2,13.9,10.8,2.4,0.2,1.6,2.6,0,1,0.6,2.13,8.849023135
26,Facundo Campazzo,6900,PG,ARG,33.25,0.6,45,26.5,30,16.4,2.8,5.2,3,0,2.6,2.4,11.4,31.14439665
27,Felipe Reyes,2700,PF,ESP,15.2,0.2,2.6,21.2,17.76,7,0.4,0.4,5.2,0.2,0.4,0.6,8.4,16.08140232
28,Florent Pietrus,2000,PF,FRA,3.4,0,0.2,8.1,10.32,1,0,0.8,0.8,0,0.2,0.4,0.733,3.874666023
