"","Name","Salary","Pos","Team","Avg","STS","MIN","USG","FIC","FP","OWN","PTS","TPM","AST","STL","BLK","TOV","LU"
"1","Miroslav Raduljica",6000,"C","SRB",24.9,0.6,17.04,"30.6",9.4,23.63142769296,31.6,17.6,0,1.4,0.2,0.8,0.6,1
"2","Carmelo Anthony",8400,"PF","USA",28.15,1,28.72,"21.4",12.7,30.16409108456,17.2,15.2,3,2.4,0.8,0.2,0.8,1
"3","Facundo Campazzo",6900,"PG","ARG",33.25,0.6,30,"26.5",11.4,34.25404335,45,16.4,2.8,5.2,2.6,0,2.4,1
"4","Kyrie Irving",7500,"PG","USA",25.3,1,26.56,"19.6",13,28.39788092544,17.8,12.6,1.6,6,0.6,0,1.2,1
"5","Luka Babic",3000,"SF","CRO",17.45,0,18.88,"13.1",7.93,17.47371848,8,5.8,0.6,2.8,0.8,0.2,0.2,1
"6","Nikola Kalinic",2800,"SF","SRB",12.75,0.8,17.6,"13.5",7.5,12.892256256,1.4,4.8,0.2,1.4,1.2,0,0.8,1
"7","Bojan Bogdanovic",9300,"SG","CRO",34.65,1,36,"30.6",13.6,35.920701648,53.4,24.8,2.8,2,0.6,0.4,3.6,1
"8","Milos Teodosic",6100,"SG","SRB",22.1,0.2,25.6,"25.8",9.57,23.1105830912,22.4,11.4,2.2,5,0.6,0,3.2,1
"9","Miroslav Raduljica",6000,"C","SRB",24.9,0.6,17.04,"30.6",9.4,23.63142769296,31.6,17.6,0,1.4,0.2,0.8,0.6,2
"10","Andres Nocioni",6700,"PF","ARG",28.55,0.8,34.48,"22.5",10.8,29.6157807204,19.8,15.6,2.4,0.4,1.4,0.8,2.6,2
"11","Carmelo Anthony",8400,"PF","USA",28.15,1,28.72,"21.4",12.7,30.16409108456,17.2,15.2,3,2.4,0.8,0.2,0.8,2
"12","Kyrie Irving",7500,"PG","USA",25.3,1,26.56,"19.6",13,28.39788092544,17.8,12.6,1.6,6,0.6,0,1.2,2
"13","Luka Babic",3000,"SF","CRO",17.45,0,18.88,"13.1",7.93,17.47371848,8,5.8,0.6,2.8,0.8,0.2,0.2,2
"14","Nikola Kalinic",2800,"SF","SRB",12.75,0.8,17.6,"13.5",7.5,12.892256256,1.4,4.8,0.2,1.4,1.2,0,0.8,2
"15","Bojan Bogdanovic",9300,"SG","CRO",34.65,1,36,"30.6",13.6,35.920701648,53.4,24.8,2.8,2,0.6,0.4,3.6,2
"16","Milos Teodosic",6100,"SG","SRB",22.1,0.2,25.6,"25.8",9.57,23.1105830912,22.4,11.4,2.2,5,0.6,0,3.2,2
"17","Nikola Jokic",6500,"C","SRB",23,0.4,23.6,"19.5",10.4,24.4763716512,14.8,9.2,0.4,2.4,1,0.6,1.4,3
"18","Andres Nocioni",6700,"PF","ARG",28.55,0.8,34.48,"22.5",10.8,29.6157807204,19.8,15.6,2.4,0.4,1.4,0.8,2.6,3
"19","Carmelo Anthony",8400,"PF","USA",28.15,1,28.72,"21.4",12.7,30.16409108456,17.2,15.2,3,2.4,0.8,0.2,0.8,3
"20","Kyrie Irving",7500,"PG","USA",25.3,1,26.56,"19.6",13,28.39788092544,17.8,12.6,1.6,6,0.6,0,1.2,3
"21","Luka Babic",3000,"SF","CRO",17.45,0,18.88,"13.1",7.93,17.47371848,8,5.8,0.6,2.8,0.8,0.2,0.2,3
"22","Nikola Kalinic",2800,"SF","SRB",12.75,0.8,17.6,"13.5",7.5,12.892256256,1.4,4.8,0.2,1.4,1.2,0,0.8,3
"23","Bojan Bogdanovic",9300,"SG","CRO",34.65,1,36,"30.6",13.6,35.920701648,53.4,24.8,2.8,2,0.6,0.4,3.6,3
"24","Krunoslav Simon",5800,"SG","CRO",24.3,0.6,25.28,"23.0",8.37,23.41091602048,18.2,9,1.4,4.2,0.8,0,2.2,3
"25","Nikola Jokic",6500,"C","SRB",23,0.4,23.6,"19.5",10.4,24.4763716512,14.8,9.2,0.4,2.4,1,0.6,1.4,4
"26","Andres Nocioni",6700,"PF","ARG",28.55,0.8,34.48,"22.5",10.8,29.6157807204,19.8,15.6,2.4,0.4,1.4,0.8,2.6,4
"27","Carmelo Anthony",8400,"PF","USA",28.15,1,28.72,"21.4",12.7,30.16409108456,17.2,15.2,3,2.4,0.8,0.2,0.8,4
"28","Kyrie Irving",7500,"PG","USA",25.3,1,26.56,"19.6",13,28.39788092544,17.8,12.6,1.6,6,0.6,0,1.2,4
"29","Luka Babic",3000,"SF","CRO",17.45,0,18.88,"13.1",7.93,17.47371848,8,5.8,0.6,2.8,0.8,0.2,0.2,4
"30","Nikola Kalinic",2800,"SF","SRB",12.75,0.8,17.6,"13.5",7.5,12.892256256,1.4,4.8,0.2,1.4,1.2,0,0.8,4
"31","Bojan Bogdanovic",9300,"SG","CRO",34.65,1,36,"30.6",13.6,35.920701648,53.4,24.8,2.8,2,0.6,0.4,3.6,4
"32","Krunoslav Simon",5800,"SG","CRO",24.3,0.6,25.28,"23.0",8.37,23.41091602048,18.2,9,1.4,4.2,0.8,0,2.2,4
